State,District,Block Name,Total Habitations as on 01/04/2023,Non PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations
,,Block Name,Total Habitations as on 01/04/2023,Non PWS Habitations,With FHTC Coverage = 0 %,With FHTC Coverage = 0 %,With FHTC Coverage = 0 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=100 %,With FHTC Coverage >=100 %,With FHTC Coverage >=100 %
,,Block Name,Total Habitations as on 01/04/2023,Non PWS Habitations,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons
,,Total,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,"8,827","8,827"
Lakshadweep,Lakshadweep District,Agatti,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1517,1517
Lakshadweep,Lakshadweep District,Amini,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1591,1591
Lakshadweep,Lakshadweep District,Andrott,1,0,0,0,0,0,0,0,1,2090,824,0,0,0,0,0,0,0,0,0
Lakshadweep,Lakshadweep District,BITRA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,86,73,0,0,0
Lakshadweep,Lakshadweep District,Chetlat,1,0,0,0,0,0,0,0,0,0,0,1,608,332,0,0,0,0,0,0
Lakshadweep,Lakshadweep District,Kadmat,1,0,0,0,0,0,0,0,1,1228,587,0,0,0,0,0,0,0,0,0
Lakshadweep,Lakshadweep District,Kalpeni,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1081,1081
Lakshadweep,Lakshadweep District,Kavaratti,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2600,2600
Lakshadweep,Lakshadweep District,Kiltan,1,0,0,0,0,0,0,0,0,0,0,1,900,562,0,0,0,0,0,0
Lakshadweep,Lakshadweep District,Minicoy,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1669,1669
